BULTEN;HHTIPI;KONUTTIP;MULKIYET;KIRA_AY;KIRA_SEK;LOJ_FERT;IZAFI_K;KONUTSAH;KON_BORC;KONDEGER;OTUR_SUR;BINA_TAR;ODA_SAY;KON_ALAN;zemin_SAL;zemin_ODA;zemin_MUT;zemin_BAN;ISIT_SIS;YAKIT_1;YAKIT_2;YAKIT_3;YAKIT_MUT;YAKIT_SU;zor_alýs;zor_banka;zor_posta;zor_ulas;zor_saglý;zor_egiti;konutiki;konut2_n;BANYO;SAUNA;JAKUZI;TUVALET;MUTFAK;COPOGUT;KALORIF;TABANISI;SU_SIS;DOG_GAZ;SICAKSU;KABLOYAY;ASANSOR;GARAJ;HAVUZ;JENRATOR;TELEFON;CEPTEL;BILGISAY;INTERN;LCDTELE;KAMERA;UYDUANT;BUZDOLAB;DERINDON;BULASIK;M_FIRIN;CAMASIR;KURUTMA;HALIYIKA;KLIMA;OYUNKONS;OTOADET;OTOADET2;OTOADET3;ISOTOADT;MOTOADET;DENTADET;MUSKONUT;MUSMIK;MUSKIRA;MUSKDEG;APARTMAN;APTMIK;APTKIRA;APTKDEG;YAZLIK;YAZMIK;YAZKIRA;YAZKDEG;TARLA;TARMIK;TARKIRA;TARKDEG;BAG;BAGMIK;BAGKIRA;BAGKDEG;SERA;SERAMIK;SERAKIRA;SERAKDEG;ARSA;ARSAMIK;ARSAKIRA;ARSAKDEG;DUKKAN;DUKMIK;DUKKIRA;DUKKDEG;OTEL;OTELMIK;OTELKIRA;OTELKDEG;YILKULGEL;EFB_OECD;HARCAMA;HHB;faktor
1400040;1;3;1;;;;350;1988;2;80000;25;5;3;120;3;3;3;3;1;1;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;1;0;0;2;0;1;0;;0;0;0;0;;;;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;19522,81;2;2462,09;3;1174,025805
1400041;3;1;4;0;;;250;;;40000;10;5;2;60;3;3;3;3;1;1;2;;4;4;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;9249,18;2,4;721,06;5;1786,712213
1400042;3;4;4;0;;;400;;;80000;2;3;4;120;3;3;3;3;1;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;10770,48;3,3;1014,77;8;2104,403002
1400043;1;4;1;;;;500;2003;2;60000;10;6;4;120;1;1;3;3;1;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;3;0;0;1;0;1;2;0;1;1;1;0;0;0;0;1;0;;0;0;0;0;;;;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;42165,91;2;8183,65;3;2370,603666
1400044;3;4;1;;;;500;2004;2;80000;9;6;4;130;1;1;3;3;1;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;4;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;;;0;0;0;0;;;;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;46056,9;2,8;3295,6;5;1979,611406
1400045;6;4;2;350;2;;;;;;4;6;4;140;7;7;7;3;1;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;12058,88;3,1;1620,67;6;1410,473997
1400046;3;4;2;400;2;;;;;;3;6;4;100;3;3;3;3;1;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;2;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;19755,12;3,1;2066,16;6;2324,506411
1400047;1;5;4;0;;;600;;;80000;1;6;4;180;3;3;3;3;4;4;;;4;5;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;2;1;1;1;0;1;1;1;1;1;1;0;0;2;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;32893,44;1,8;3117,81;3;2271,549995
1400049;1;1;4;0;;;100;;;20000;54;2;2;55;6;6;6;6;1;1;;;4;7;3;2;2;2;3;3;2;;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;11254,42;2;1200,5;3;677,9712301
1400050;5;1;1;;;;200;1996;2;30000;17;6;3;90;6;6;6;6;4;4;;;4;7;2;2;2;2;3;3;1;3;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;5;1;0;0;0;1;1;0;1;0;1;0;0;3;0;1;0;;0;0;0;1;1;0;;1;2;0;;0;;;;1;100;0;;0;;;;0;;;;0;;;;0;;;;0;;;;94476,21;3,3;3058,31;6;2170,355818
