2'li Ana grup kodu;HBS_KOD5;tŸr;Grup adÝ
3;3213;DÜÚER;BEBEK VE ‚OCUK AYAKKABILARI
3;3220;DÜÚER;AYAKKABILARIN TAMÜRÜ, TADÜLATI VE KÜRALANMASI
4;4110;DÜÚER;KÜRACILAR TARAFINDAN …DENEN GER‚EK KÜRALAR
4;4121;DÜÚER;ÜKÜNCÜ KONUTLAR Ü‚ÜN KÜRACILAR TARAFINDAN …DENEN GER‚EK KÜRALAR
4;4122;DÜÚER;KÜRACILAR TARAFINDAN …DENEN GARAJ KÜRALARI VE DÜÚER KÜRALAR
4;4210;DÜÚER;EV SAHÜBÜ OLARAK ÜKAMET EDENLERÜN ÜZAFÜ KÜRALARI
4;4220;DÜÚER;DÜÚER ÜZAFÜ KÜRALAR
4;4310;DÜÚER;KONUTUN BAKIM VE ONARIMI Ü‚ÜN MALZEMELER
4;4321;DÜÚER;SIHHÜ TESÜSAT‚ILARIN HÜZMETLERÜ
4;4322;DÜÚER;ELEKTRÜK‚ÜLERÜN HÜZMETLERÜ
4;4323;DÜÚER;ISITMA SÜSTEMLERÜNÜN BAKIM HÜZMETLERÜ
4;4324;DÜÚER;BOYACILARIN HÜZMETLERÜ
4;4325;DÜÚER;MARANGOZLARIN HÜZMETLERÜ
4;4329;DÜÚER;KONUTUN BAKIM VE ONARIMI Ü‚ÜN DÜÚER HÜZMETLER
4;4410;DÜÚER;SU TEMÜNÜ
4;4420;DÜÚER;‚…PLERÜN TOPLANMASI
4;4430;DÜÚER;KANALÜZASYON ATIKLARININ TOPLANMASI
4;4441;DÜÚER;‚OK DAÜRELÜ BÜNALARDA BAKIM HARCAMALARI
4;4442;DÜÚER;G†VENLÜK HÜZMETLERÜ
4;4449;DÜÚER;KONUTA ÜLÜÞKÜN DÜÚER HÜZMETLER
4;4510;DÜÚER;ELEKTRÜK
4;4521;DÜÚER;DOÚAL GAZ VE HAVA GAZI
4;4522;DÜÚER;SIVILAÞTIRILMIÞ HÜDROKARBONLAR (B†TAN, PROPAN, VB.)
4;4530;DÜÚER;SIVI YAKITLAR
4;4541;DÜÚER;K…M†R
4;4549;DÜÚER;DÜÚER KATI YAKITLAR
4;4550;DÜÚER;ISI ENERJÜSÜ
5;5111;DÜÚER;EV MOBÜLYASI
5;5112;DÜÚER;BAH‚E MOBÜLYASI
5;5113;DÜÚER;AYDINLATMA EKÜPMANI
5;5119;DÜÚER;DÜÚER MOBÜLYA VE MEFRUÞAT
5;5121;DÜÚER;HALI VE KÜLÜMLER
5;5122;DÜÚER;DÜÚER YER D…ÞEMELERÜ
5;5123;DÜÚER;DUVARDAN DUVARA HALILARIN (SABÜTLENMÜÞ OLANLAR DAHÜL) VE YER D…ÞEMELERÜNÜN D…ÞENMESÜ HÜZMETLERÜ
