2'li Ana grup kodu;HBS_KOD5;tr;Grup ad
9;9425;D˜¦ER;FOTO¦RAF€ILIK H˜ZMETLER˜
9;9429;D˜¦ER;D˜¦ER KšLTšREL H˜ZMETLER
9;9430;D˜¦ER;žANS OYUNLARI
9;9511;D˜¦ER;KURGUSAL K˜TAPLAR (H˜KAYE, ROMAN VB.)
9;9512;D˜¦ER;E¦˜TSEL DERS K˜TAPLARI
9;9513;D˜¦ER;D˜¦ER KURGUSAL OLMAYAN K˜TAPLAR
9;9514;D˜¦ER;C˜LTLEME H˜ZMETLER˜ VE E-K˜TAP YšKLEMELER˜
9;9521;D˜¦ER;GAZETELER
9;9522;D˜¦ER;DERG˜LER VE SšREL˜ YAYINLAR
9;9530;D˜¦ER;€Ež˜TL˜ BASILMIž MATERYALLER
9;9541;D˜¦ER;KA¦IT šRšNLER˜
9;9549;D˜¦ER;D˜¦ER KIRTAS˜YE VE €˜Z˜M MATERYALLER˜
9;9601;D˜¦ER;YURT ˜€˜ PAKET TURLAR VE TAT˜LLER
9;9602;D˜¦ER;YURT DIžI PAKET TURLAR VE TAT˜LLER
10;10101;D˜¦ER;OKUL ™NCES˜ E¦˜T˜M
10;10102;D˜¦ER;˜LKOKUL E¦˜T˜M˜
10;10200;D˜¦ER;ORTAOKUL VE L˜SE E¦˜T˜M˜
10;10300;D˜¦ER;ORTA™¦RET˜M SONRASI YšKSEK™¦RET˜M DERECES˜NDE OLMAYAN E¦˜T˜M
10;10400;D˜¦ER;YšKSEKOKUL VE šN˜VERS˜TE E¦˜T˜M˜
10;10500;D˜¦ER;SEV˜YEYE G™RE TANIMLANAMAYAN E¦˜T˜M
11;11111;D˜¦ER;LOKANTALAR, KAFELER, BARLAR, GECE KULšPLER˜ VB.
11;11112;D˜¦ER;FAST FOOD VE PAKET SERV˜S H˜ZMETLER˜
11;11120;D˜¦ER;KANT˜NLER
11;11201;D˜¦ER;OTEL, MOTEL, PANS˜YON VE BENZER˜ YERLERDEK˜ KONAKLAMA H˜ZMETLER˜
